"liv"	"die"	"rea"	"des"	"pas"	"dur"	"fre"	"att"	"con"	"det"	"cry"	"pla"	"met"	"cou"	"exp"	"pre"	"not"	"arr"	"cea"	"rep"
"314"	2	2	2	2	2	2	1	2	2	2	2	1	2	2	2	0	0	0	2	0
"315"	2	2	2	2	2	2	2	2	1	2	2	2	2	2	2	2	2	1	2	0
"316"	1	1	1	2	1	1	1	1	1	1	2	2	2	1	1	1	1	1	1	0
"317"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"318"	2	2	1	2	1	1	1	2	1	1	2	0	2	2	2	1	1	0	1	0
"319"	1	0	2	1	2	1	0	0	0	0	1	0	0	0	0	0	0	0	1	0
"320"	2	1	2	1	1	1	1	2	0	0	2	1	2	0	0	0	1	0	1	0
"321"	1	1	0	1	0	0	0	1	0	0	1	0	0	1	1	0	0	0	1	0
"322"	0	1	0	1	1	0	0	1	0	1	1	0	1	1	0	0	0	0	1	0
"323"	0	1	1	2	1	1	1	1	0	1	2	0	0	1	1	1	1	1	1	0
"324"	2	2	2	2	2	1	2	2	1	1	2	0	2	2	2	0	1	1	2	0
"325"	2	2	0	1	0	1	1	1	0	1	2	0	0	2	2	1	0	0	0	0
"326"	2	2	2	2	0	2	1	2	1	2	2	2	1	2	2	1	1	1	1	0
"327"	2	2	2	2	1	2	2	2	2	1	2	1	0	2	2	2	1	1	1	0
"328"	2	2	2	2	NA	2	1	2	1	1	2	1	2	1	1	1	1	0	0	0
"329"	0	1	0	1	0	1	1	1	1	1	2	2	2	1	1	2	0	2	0	0
"330"	2	2	2	2	2	0	0	2	0	0	2	2	2	1	1	0	0	0	0	0
"331"	1	1	1	1	0	1	1	1	1	2	2	1	1	1	2	1	2	0	2	0
"332"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"333"	2	2	2	2	2	2	2	2	1	1	2	1	0	1	2	0	0	0	0	0
"334"	2	2	NA	2	2	2	2	1	1	1	2	0	0	1	1	0	2	0	0	0
"335"	1	2	1	1	2	0	1	1	1	1	1	0	2	2	0	0	2	0	0	0
"336"	0	1	1	1	0	1	1	1	1	1	2	1	1	1	1	0	0	0	1	0
"337"	1	1	1	1	0	1	1	1	0	1	1	1	1	1	2	1	0	0	0	0
"338"	1	2	2	2	2	2	2	2	2	1	2	2	2	2	2	1	2	2	1	0
"339"	1	2	2	1	2	2	2	2	1	2	2	1	2	2	2	2	2	1	2	0
"340"	1	1	2	1	1	2	2	1	1	1	2	1	1	1	0	0	0	0	2	0
"341"	2	2	2	2	0	1	2	2	1	1	2	1	2	1	2	0	2	2	2	0
"342"	1	1	1	1	1	0	0	1	0	1	2	0	2	2	2	0	0	0	1	0
"343"	1	2	1	2	2	2	2	2	1	1	2	1	2	2	2	1	0	0	2	0
"344"	1	1	1	2	1	1	1	1	1	1	2	2	2	1	1	1	1	1	1	0
"345"	1	1	1	1	0	1	1	2	1	1	2	0	0	2	0	0	0	0	0	0
"346"	1	1	1	1	2	2	1	1	1	1	2	0	1	1	2	0	1	1	2	0
"347"	1	0	1	2	0	1	0	2	0	2	2	2	2	1	1	1	0	0	1	0
"348"	0	0	1	0	2	0	1	0	0	0	2	0	2	0	0	0	0	0	2	0
"349"	2	2	2	1	0	1	1	2	1	2	2	1	2	2	2	0	0	0	0	0
"350"	2	2	1	1	2	2	2	1	2	2	2	2	2	2	2	2	2	2	2	0
"351"	1	1	1	1	0	1	1	1	0	2	2	0	1	2	0	1	2	0	2	0
"352"	2	2	2	2	2	1	0	2	2	2	2	2	2	2	2	2	2	2	2	0
"353"	2	2	2	2	2	2	1	2	2	2	2	0	2	2	2	1	0	0	2	0
"354"	1	2	1	2	0	0	1	1	1	1	2	2	1	1	1	2	1	0	0	0
"355"	1	1	1	1	1	1	1	0	2	1	1	1	1	1	1	1	2	1	0	0
"356"	2	2	2	1	0	1	1	2	1	0	2	0	0	0	1	0	2	0	1	0
"357"	1	1	2	2	1	1	1	1	1	1	2	1	1	1	2	1	0	0	1	0
"358"	1	2	2	2	1	1	1	1	1	1	2	0	2	1	1	0	0	0	2	0
"359"	0	0	1	1	0	0	0	0	0	0	2	0	2	2	1	1	1	1	0	0
"360"	2	2	2	2	2	2	2	2	2	1	2	1	2	2	2	1	1	0	2	0
"361"	1	2	2	2	2	1	1	1	0	1	2	1	0	1	0	0	2	2	2	0
"362"	1	2	1	1	1	1	0	2	1	1	1	2	2	2	2	0	1	0	1	0
"363"	1	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"364"	1	1	2	1	2	1	1	1	1	1	2	1	2	1	1	1	1	1	1	0
"365"	1	1	0	2	1	0	0	1	1	0	2	1	0	1	1	1	1	0	2	0
"366"	2	2	2	2	0	1	1	2	1	2	2	2	2	2	2	2	1	1	2	0
"367"	2	2	2	2	2	2	2	2	1	2	2	2	2	2	2	1	2	0	2	0
